log_file,stage,training_mode,backbone,quantizer_mode,quantizer_mode_detail,quantizer_mode_source,quant_bits,quant_bits_detail,quant_bits_source,teacher_backend,teacher_proxy_ckpt,teacher_score_topk_ratio,run_id,started_at,epochs,batch_size,lr,roi_levels,bg_levels,max_train_frames,loss_recipe,loss_recipe_detail,loss_recipe_source,rate_loss_mode,rate_loss_mode_source,importance_loss_mode,importance_loss_mode_source,importance_pos_weight_mode,importance_pos_weight,importance_pos_weight_max,distill_logit_loss,distill_temperature,distill_feature_weight,distill_logit_weight,distill_align_mode,distill_align_hw,distill_feature_source,distill_teacher_score_min,distill_teacher_score_weight,importance_head_type,importance_head_type_source,importance_hidden_channels,imp_separation_margin,roi_target_mode,roi_target_mode_source,lambda_recon,lambda_rate,lambda_distill,lambda_distill_detail,lambda_importance,lambda_imp_separation,first_loss,final_loss,best_loss,rel_improve_pct,final_rate_proxy,final_eq_bits,final_code_entropy,final_imp_mean,save_dir
260213_darknet_ld0.5_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,r0,2026-02-13 20:38:27 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_r0
260213_darknet_ld1.0_r1.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,r1,2026-02-13 20:38:27 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,1.0,Distillation loss active with weight=1.000. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_r1
260213_darknet_lr1e-4_r0.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,r0,2026-02-13 20:38:27 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_solo_lr1e-4_bs4_r0
260213_darknet_lr5e-5_r2.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,r2,2026-02-13 20:38:27 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_solo_lr5e-5_bs4_r2
260213_darknet_uniform_q4_r0.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,4,Uniform quantizer bit-depth (4 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r0,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q4_lr1e-4_bs4_r0
260213_darknet_uniform_q6_r1.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,6,Uniform quantizer bit-depth (6 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r1,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q6_lr1e-4_bs4_r1
260213_darknet_uniform_q8_r2.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,8,Uniform quantizer bit-depth (8 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r2,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q8_lr1e-4_bs4_r2
260213_resnet_lr1e-4_r1.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,r1,2026-02-13 20:38:27 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_resnet_solo_lr1e-4_bs4_r1
260213_resnet_lr5e-5_r3.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,r3,2026-02-13 20:38:27 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_resnet_solo_lr5e-5_bs4_r3
260213_resnet_uniform_q4_r3.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,4,Uniform quantizer bit-depth (4 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r3,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q4_lr1e-4_bs4_r3
260213_resnet_uniform_q6_r4.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,6,Uniform quantizer bit-depth (6 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r4,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q6_lr1e-4_bs4_r4
260213_resnet_uniform_q8_r5.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,8,Uniform quantizer bit-depth (8 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,r5,2026-02-13 20:38:27 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q8_lr1e-4_bs4_r5
260213_darknet_ld0.1_j21254_r2.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,j21254_r2,2026-02-13 20:40:58 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.8229,4.5592,4.5592,64.44486036699966,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_j21254_r2
260213_darknet_ld1.0_j21259_r1.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,j21259_r1,2026-02-13 20:40:58 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,1.0,Distillation loss active with weight=1.000. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.691,4.6658,4.6658,63.235363643526924,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_j21259_r1
260213_darknet_lr5e-5_j21257_r2.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21257_r2,2026-02-13 20:40:58 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,14.9644,4.6562,4.6562,68.88481997273529,nan,nan,nan,nan,data/results/experiments/260213_darknet_solo_lr5e-5_bs4_j21257_r2
260213_darknet_lr1e-4_j21255_r0.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21255_r0,2026-02-13 20:40:59 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,12.421,4.4119,4.4119,64.48031559455761,nan,nan,nan,nan,data/results/experiments/260213_darknet_solo_lr1e-4_bs4_j21255_r0
260213_resnet_lr1e-4_j21256_r1.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21256_r1,2026-02-13 20:41:03 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,10.8551,3.0736,3.0736,71.6851986623799,nan,nan,nan,nan,data/results/experiments/260213_resnet_solo_lr1e-4_bs4_j21256_r1
260213_darknet_ld0.5_j21258_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,j21258_r0,2026-02-13 20:41:04 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,resize,"0,0",channel_mean,0.0,False,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.5516,4.6435,4.6435,63.004716530163485,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_j21258_r0
